CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
2602503,Santander de Quilichao,Japio,-76.4446944,3.0513333,1731,23.4,1040
1304501,Valencia,Jaraguay,-76.0833333,8.3,1191,27,70
2120571,Bogota,Jardin Botanico,-74.0991944,4.6665833,950,14.6,2571
2613509,Marsella,Jardin Botanico,-75.74025,4.9384861,2126,20.1,1700
2613506,Santa Rosa de Cabal,Jazmin El,-75.6333333,4.9166667,2592,19.4,1600
2612515,Pereira,Joya La,-75.7833333,4.7666667,1837,21.7,1250
2113505,Neiva,Julia La,-75.5303611,3.0995556,1736,18.7,1700
5311503,Restrepo,Julio Fernandez,-76.5166667,3.8166667,1068,19.8,1390
2109501,Palermo,Juncal El,-75.3299444,2.8296111,1366,26.6,550
2802510,La Paz,Laguna La,-73.0666667,10.2666667,1475,21.4,1500
2401525,Guadalupe,Laja La,-73.4186667,6.2402639,3183,21.2,1400
2312513,Landazuri,Landazuri,-73.8121111,6.2240611,3121,22.9,1085
2111514,Baraya,Laureles Los,-74.9210556,3.094,1186,15.3,2100
2114507,Colombia,Legiosa La,-74.7026389,3.312,2253,18.8,1475
3206501,Lejanias,Lejanias,-74.02651,3.51847,3724,23.2,680
2103504,Suaza,Libano El,-75.8323889,1.8720556,1243,22.4,1045
2802501,Agustin Codazzi,Libano Hda El,-73.25,10.0333333,1494,28.6,90
3502502,Villavicencio,Libertad La,-73.4666667,4.0666667,2801,25.7,354.6
2903512,Manati,Limon El,-75.0666667,10.4166667,919,28.4,7
2204502,Chaparral,Limon El,-75.58719,3.65691,2607,23,1000
2206505,Chaparral,Limon El,-75.5,3.7166667,2906,22.8,1000
1602505,Cucuta,Limoncito,-72.55879,8.11224,1698,26.7,120
2319514,San Alberto,Llana La,-73.5333333,7.7333333,2321,27.7,120
2302501,Manzanares,Llanadas,-75.1333333,5.2,2919,19.7,1420
3502505,Ubaque,Llano Largo,-74.0302778,4.4828333,1139,11.2,2980
1103501,Lloro,Lloro,-76.55308,5.5018,7059,26.2,90
1108501,Bojaya,Loma La,-76.98029,6.53873,5214,26.5,20
1308502,Lorica,Lorica,-75.81156,9.25101,1184,27.3,30
2116503,Purificacion,Lozania,-74.7769722,3.8990556,2005,26.1,384
2615514,Palestina,Luker Gja,-75.6833333,5.0833333,2197,22.8,933
4403503,Florencia,Macagual,-75.6186667,1.6207222,3669,25,280
2502511,Magangue,Magangue,-74.75,9.2333333,1104,27.5,18
3506502,Ubala,Mambita,-73.3333333,4.7666667,4381,22.1,840
1507503,Manaure,Manaure,-72.45,11.7666667,434,28.8,1
2111516,Baraya,Manila Hda La,-75.0849444,3.1359167,984,27.1,1735
1102501,Ciudad Bolivar,Mansa La,-76.0844444,5.8786111,2453,16.6,1870
2608511,Trujillo,Manuel M Mallari,-76.35,4.1666667,1760,20.9,1380
3215501,San Jose del Guaviare,Mapiripana,-70.53511,2.79741,2853,25.6,140
2612525,Quimbaya,Maracay,-75.7666667,4.6,2384,20.9,1450
1306502,Monteria,Maracayo,-75.87582,8.41863,1336,26.9,40
2121509,Espinal,Maranones,-74.9333333,4.2166667,1250,27.3,370
1605508,San Calixto,Maravilla La,-73.21613,8.40483,1544,19,1650
3512501,Puerto Lopez,Margaritas Hda L,-72.20709,4.33995,2043,26.7,160.9
1605503,Abrego,Maria La,-73.21212,7.91562,1929,15.4,1800
2613512,Marsella,Marsella-Ita,-75.73927,4.93269,2325,19.9,1500
2321505,La Gloria,Mata La,-73.64228,8.61614,2908,28.1,163
2610523,Tulua,Mateguadua,-76.1709167,4.0303095,1341,22.6,1025
1504501,Riohacha,Matitas,-73.05,11.25,1099,27.5,20
2906508,Pivijay,Media Luna,-74.50232,10.51792,778,28,20
2113504,Coyaima,Media Luna,-75.1235278,3.7766111,1470,28.1,485
1202503,Necocli,Mellito El,-76.6727778,8.5341667,1827,26.7,10
4701501,Sibundoy,Menta La,-76.9333333,1.1833333,1780,15.7,2067
5202503,Mercaderes,Mercaderes,-77.1644444,1.7711111,1561,22.8,1286
2120566,Anapoima,Mercedes Las,-74.5266667,4.5819722,1157,25,810
2205502,Ataco,Mesa de Pole,-75.55687,3.45772,2402,26,500
3207505,Mesetas,Mesetas,-74.04466,3.38074,2858,24.3,620
2618502,La Union,Mesopotamia,-75.3186111,5.8863889,3323,14.7,2250
4701504,Colon,Michoacan,-76.9641667,1.2011111,1830,15.6,2118
5202502,Bolivar,Milagros Los,-76.8933333,1.7547222,1398,16,1946
